reaction,biomass_type
transcription_TU0_14403_from_RpoD_mono,mRNA
transcription_TU00173_with_TERM0781_from_RpoD_mono,mRNA
transcription_TU0_13780_from_RpoD_mono,mRNA
transcription_TU0_14513_from_RpoD_mono,mRNA
transcription_TU0_5322_from_RpoD_mono,mRNA
transcription_TU0_8704_from_RpoD_mono,mRNA
transcription_TU0_7822_from_RpoD_mono,mRNA
transcription_TU0_13018_from_RpoD_mono,mRNA
transcription_TU00440_from_RpoD_mono,mRNA
transcription_TU0_8362_from_RpoD_mono,mRNA
transcription_TU0_14064_from_RpoD_mono,mRNA
transcription_TU00306_from_RpoD_mono,mRNA
transcription_TU00034_from_RpoD_mono,mRNA
transcription_TU0_13794_from_RpoD_mono,mRNA
transcription_TU0_13310_from_RpoD_mono,mRNA
transcription_TU0_14150_from_RpoD_mono,mRNA
transcription_TU0_13719_from_RpoD_mono,mRNA
transcription_TU0_1282_with_TERM73_from_RpoD_mono,mRNA
transcription_TU0_1282_with_TERM3_from_RpoD_mono,mRNA
transcription_TU00381_with_TERM65_from_RpoD_mono,mRNA
transcription_TU0_14005_from_RpoD_mono,mRNA
transcription_TU00104_from_RpoD_mono,mRNA
transcription_TU0_13657_from_RpoD_mono,mRNA
transcription_TU0_5341_from_RPOS_MONOMER,mRNA
transcription_TU0_1141_from_RpoD_mono,mRNA
transcription_TU0_14714_from_RpoD_mono,mRNA
transcription_TU00255_from_RpoD_mono,mRNA
transcription_TU0_5_from_RpoD_mono,mRNA
transcription_TU0_14404_from_RpoD_mono,mRNA
transcription_TU0_6623_from_RpoD_mono,mRNA
transcription_TU0_3641_from_RPON_MONOMER,mRNA
transcription_TU0_14134_from_RpoD_mono,mRNA
transcription_TU00442_from_RpoD_mono,mRNA
transcription_TU0_14615_from_RpoD_mono,mRNA
transcription_TU00035_from_RpoD_mono,mRNA
transcription_TU0_5402_with_TERM0582_from_RpoD_mono,mRNA
transcription_TU0_5402_with_TERM0583_from_RpoD_mono,mRNA
transcription_TU5_from_RpoD_mono,mRNA
transcription_TU0_14151_from_RpoD_mono,mRNA
transcription_TU00191_from_RpoD_mono,mRNA
transcription_TU0_13956_from_RpoD_mono,mRNA
transcription_TU00105_from_RPOS_MONOMER,mRNA
transcription_TU00382_with_TERM65_from_RpoD_mono,mRNA
transcription_TU0_7842_with_TERM_RPST_from_RpoD_mono,mRNA
transcription_TU0_14715_from_RpoD_mono,mRNA
transcription_TU0_13658_from_RpoD_mono,mRNA
transcription_TU0_6625_from_RpoD_mono,mRNA
transcription_TU801_from_RpoD_mono,mRNA
transcription_TU0_1142_from_RpoD_mono,mRNA
transcription_TU00256_with_TERM0161_from_RpoD_mono,mRNA
transcription_TU00443_with_TERM0902_from_RPOS_MONOMER,mRNA
transcription_TU00443_with_TERM0902_from_RpoD_mono,mRNA
transcription_TU00036_with_TERM0223_from_RpoD_mono,mRNA
transcription_TU00036_with_TERM0222_from_RpoD_mono,mRNA
transcription_TU0_8484_from_RpoD_mono,mRNA
transcription_TU0_13179_from_RpoD_mono,mRNA
transcription_TU0_36412_from_RPOS_MONOMER,mRNA
transcription_TU0_7844_with_TERM_RPST_from_RpoD_mono,mRNA
transcription_TU00192_with_GLYA_TERMINATOR_from_RpoD_mono,mRNA
transcription_TU0_13093_from_RpoD_mono,mRNA
transcription_TU00106_from_RpoD_mono,mRNA
transcription_TU00308_from_RpoD_mono,mRNA
